Participant.Public.ID,Participant.Private.ID,Spreadsheet..audiofile,Rhythm,Harmony,Trial.Number.x,Display.x,groove,Trial.Number.y,Display.y,pleasure
00ozrxkb,10615428,HR1_HH3.mp3,4,4,14,trial,63,11,trial,37
00ozrxkb,10615428,HR1_LH3.mp3,4,2,12,trial,57,5,trial,61
00ozrxkb,10615428,HR1_MH2.mp3,4,3,15,trial,37,9,trial,66
00ozrxkb,10615428,HR1_Oct.mp3,4,1,6,trial,56,1,trial,41
00ozrxkb,10615428,Iso_HH3.mp3,1,4,7,trial,32,10,trial,34
00ozrxkb,10615428,Iso_LH3.mp3,1,2,9,trial,31,13,trial,59
00ozrxkb,10615428,Iso_MH2.mp3,1,3,3,trial,36,3,trial,38
00ozrxkb,10615428,Iso_Oct.mp3,1,1,16,trial,57,14,trial,43
00ozrxkb,10615428,LR3_HH3.mp3,2,4,2,trial,65,2,trial,38
00ozrxkb,10615428,LR3_LH3.mp3,2,2,10,trial,43,4,trial,66
00ozrxkb,10615428,LR3_MH2.mp3,2,3,4,trial,34,6,trial,74
00ozrxkb,10615428,LR3_Oct.mp3,2,1,13,trial,56,8,trial,81
00ozrxkb,10615428,MR1_HH3.mp3,3,4,1,trial,80,16,trial,84
00ozrxkb,10615428,MR1_LH3.mp3,3,2,8,trial,69,12,trial,85
00ozrxkb,10615428,MR1_MH2.mp3,3,3,5,trial,61,7,trial,91
00ozrxkb,10615428,MR1_Oct.mp3,3,1,11,trial,74,15,trial,86
01ngy9k2,10782624,HR1_HH3.mp3,4,4,15,trial,13,7,trial,0
01ngy9k2,10782624,HR1_LH3.mp3,4,2,11,trial,24,3,trial,29
01ngy9k2,10782624,HR1_MH2.mp3,4,3,3,trial,7,4,trial,19
01ngy9k2,10782624,HR1_Oct.mp3,4,1,2,trial,4,2,trial,33
01ngy9k2,10782624,Iso_HH3.mp3,1,4,1,trial,63,10,trial,3
01ngy9k2,10782624,Iso_LH3.mp3,1,2,10,trial,23,1,trial,70
01ngy9k2,10782624,Iso_MH2.mp3,1,3,14,trial,29,8,trial,8
01ngy9k2,10782624,Iso_Oct.mp3,1,1,5,trial,56,5,trial,24
01ngy9k2,10782624,LR3_HH3.mp3,2,4,13,trial,70,6,trial,68
01ngy9k2,10782624,LR3_LH3.mp3,2,2,4,trial,84,12,trial,63
01ngy9k2,10782624,LR3_MH2.mp3,2,3,16,trial,66,16,trial,18
01ngy9k2,10782624,LR3_Oct.mp3,2,1,12,trial,74,11,trial,67
01ngy9k2,10782624,MR1_HH3.mp3,3,4,9,trial,26,9,trial,0
01ngy9k2,10782624,MR1_LH3.mp3,3,2,7,trial,36,15,trial,25
01ngy9k2,10782624,MR1_MH2.mp3,3,3,6,trial,25,13,trial,29
01ngy9k2,10782624,MR1_Oct.mp3,3,1,8,trial,31,14,trial,17
086y0853,10615410,HR1_HH3.mp3,4,4,7,trial,54,2,trial,30
086y0853,10615410,HR1_LH3.mp3,4,2,4,trial,28,6,trial,36
