Participant.Public.ID,Participant.Private.ID,Spreadsheet..audiofile,Rhythm,Harmony,Trial.Number.x,Display.x,groove,Trial.Number.y,Display.y,pleasure
01sybimu,10523371,HR1_HH3.mp3,4,4,7,trial,0,2,trial,0
01sybimu,10523371,HR1_LH3.mp3,4,2,15,trial,30,7,trial,32
01sybimu,10523371,HR1_MH2.mp3,4,3,10,trial,3,12,trial,8
01sybimu,10523371,HR1_Oct.mp3,4,1,8,trial,28,13,trial,33
01sybimu,10523371,Iso_HH3.mp3,1,4,12,trial,17,1,trial,10
01sybimu,10523371,Iso_LH3.mp3,1,2,3,trial,26,9,trial,45
01sybimu,10523371,Iso_MH2.mp3,1,3,11,trial,29,15,trial,32
01sybimu,10523371,Iso_Oct.mp3,1,1,9,trial,45,8,trial,59
01sybimu,10523371,LR3_HH3.mp3,2,4,13,trial,12,6,trial,3
01sybimu,10523371,LR3_LH3.mp3,2,2,14,trial,71,4,trial,66
01sybimu,10523371,LR3_MH2.mp3,2,3,6,trial,17,14,trial,15
01sybimu,10523371,LR3_Oct.mp3,2,1,2,trial,69,16,trial,75
01sybimu,10523371,MR1_HH3.mp3,3,4,4,trial,1,10,trial,35
01sybimu,10523371,MR1_LH3.mp3,3,2,5,trial,83,5,trial,97
01sybimu,10523371,MR1_MH2.mp3,3,3,16,trial,26,3,trial,59
01sybimu,10523371,MR1_Oct.mp3,3,1,1,trial,75,11,trial,76
05xrj0yw,10484018,HR1_HH3.mp3,4,4,2,trial,0,11,trial,0
05xrj0yw,10484018,HR1_LH3.mp3,4,2,13,trial,58,8,trial,31
05xrj0yw,10484018,HR1_MH2.mp3,4,3,4,trial,37,5,trial,0
05xrj0yw,10484018,HR1_Oct.mp3,4,1,9,trial,23,14,trial,40
05xrj0yw,10484018,Iso_HH3.mp3,1,4,7,trial,37,15,trial,21
05xrj0yw,10484018,Iso_LH3.mp3,1,2,10,trial,26,9,trial,19
05xrj0yw,10484018,Iso_MH2.mp3,1,3,12,trial,24,4,trial,0
05xrj0yw,10484018,Iso_Oct.mp3,1,1,14,trial,60,6,trial,43
05xrj0yw,10484018,LR3_HH3.mp3,2,4,8,trial,50,1,trial,0
05xrj0yw,10484018,LR3_LH3.mp3,2,2,3,trial,57,3,trial,40
05xrj0yw,10484018,LR3_MH2.mp3,2,3,11,trial,34,13,trial,46
05xrj0yw,10484018,LR3_Oct.mp3,2,1,15,trial,64,12,trial,39
05xrj0yw,10484018,MR1_HH3.mp3,3,4,5,trial,62,16,trial,30
05xrj0yw,10484018,MR1_LH3.mp3,3,2,1,trial,60,7,trial,44
05xrj0yw,10484018,MR1_MH2.mp3,3,3,16,trial,55,2,trial,40
05xrj0yw,10484018,MR1_Oct.mp3,3,1,6,trial,84,10,trial,53
0ons535i,10356030,HR1_HH3.mp3,4,4,2,trial,17,12,trial,15
0ons535i,10356030,HR1_LH3.mp3,4,2,14,trial,31,7,trial,15
0ons535i,10356030,HR1_MH2.mp3,4,3,11,trial,14,5,trial,22
0ons535i,10356030,HR1_Oct.mp3,4,1,1,trial,18,10,trial,29
0ons535i,10356030,Iso_HH3.mp3,1,4,12,trial,8,3,trial,21
0ons535i,10356030,Iso_LH3.mp3,1,2,8,trial,52,11,trial,55
0ons535i,10356030,Iso_MH2.mp3,1,3,16,trial,55,6,trial,70
0ons535i,10356030,Iso_Oct.mp3,1,1,10,trial,22,4,trial,36
0ons535i,10356030,LR3_HH3.mp3,2,4,6,trial,57,8,trial,30
0ons535i,10356030,LR3_LH3.mp3,2,2,5,trial,37,15,trial,60
0ons535i,10356030,LR3_MH2.mp3,2,3,7,trial,41,13,trial,39
0ons535i,10356030,LR3_Oct.mp3,2,1,13,trial,35,1,trial,60
0ons535i,10356030,MR1_HH3.mp3,3,4,4,trial,77,9,trial,76
0ons535i,10356030,MR1_LH3.mp3,3,2,15,trial,72,16,trial,66
0ons535i,10356030,MR1_MH2.mp3,3,3,9,trial,80,14,trial,72
0ons535i,10356030,MR1_Oct.mp3,3,1,3,trial,70,2,trial,69
0wczf4yw,10419061,HR1_HH3.mp3,4,4,4,trial,55,12,trial,25
0wczf4yw,10419061,HR1_LH3.mp3,4,2,7,trial,57,10,trial,0
0wczf4yw,10419061,HR1_MH2.mp3,4,3,12,trial,35,13,trial,32
0wczf4yw,10419061,HR1_Oct.mp3,4,1,3,trial,35,4,trial,22
0wczf4yw,10419061,Iso_HH3.mp3,1,4,15,trial,34,3,trial,23
0wczf4yw,10419061,Iso_LH3.mp3,1,2,1,trial,33,8,trial,77
0wczf4yw,10419061,Iso_MH2.mp3,1,3,2,trial,33,5,trial,24
0wczf4yw,10419061,Iso_Oct.mp3,1,1,5,trial,39,15,trial,28
0wczf4yw,10419061,LR3_HH3.mp3,2,4,13,trial,61,16,trial,40
0wczf4yw,10419061,LR3_LH3.mp3,2,2,9,trial,69,7,trial,99
0wczf4yw,10419061,LR3_MH2.mp3,2,3,10,trial,60,11,trial,79
0wczf4yw,10419061,LR3_Oct.mp3,2,1,14,trial,38,14,trial,68
0wczf4yw,10419061,MR1_HH3.mp3,3,4,16,trial,68,2,trial,23
0wczf4yw,10419061,MR1_LH3.mp3,3,2,6,trial,39,6,trial,89
0wczf4yw,10419061,MR1_MH2.mp3,3,3,8,trial,57,1,trial,8
0wczf4yw,10419061,MR1_Oct.mp3,3,1,11,trial,68,9,trial,100
0zdq85tp,10628576,HR1_HH3.mp3,4,4,15,trial,38,7,trial,12
0zdq85tp,10628576,HR1_LH3.mp3,4,2,11,trial,32,9,trial,64
0zdq85tp,10628576,HR1_MH2.mp3,4,3,13,trial,37,11,trial,28
0zdq85tp,10628576,HR1_Oct.mp3,4,1,9,trial,11,3,trial,1
0zdq85tp,10628576,Iso_HH3.mp3,1,4,6,trial,0,6,trial,31
0zdq85tp,10628576,Iso_LH3.mp3,1,2,3,trial,1,5,trial,58
0zdq85tp,10628576,Iso_MH2.mp3,1,3,7,trial,12,8,trial,30
0zdq85tp,10628576,Iso_Oct.mp3,1,1,2,trial,0,16,trial,30
0zdq85tp,10628576,LR3_HH3.mp3,2,4,14,trial,29,2,trial,0
0zdq85tp,10628576,LR3_LH3.mp3,2,2,10,trial,36,12,trial,72
