"Participant.Public.ID","Participant.Private.ID","Spreadsheet..audio","Trial.Number.x","Display.x","Response.x","Trial.Number.y","Display.y","Response.y"
"00ozrxkb","10615428","Half_real_37_32bit.mp3","9","Trial",65,"5","Trial",86
"00ozrxkb","10615428","Half_real_50_32bit.mp3","23","Trial",41,"6","Trial",64
"00ozrxkb","10615428","Half_real_53_32bit.mp3","20","Trial",69,"19","Trial",80
"00ozrxkb","10615428","Half_real_54_32bit.mp3","8","Trial",71,"9","Trial",87
"00ozrxkb","10615428","Half_real_58_32bit.mp3","6","Trial",74,"18","Trial",66
"00ozrxkb","10615428","Half_real_73_32bit.mp3","1","Trial",62,"15","Trial",91
"00ozrxkb","10615428","Half_real_74_32bit.mp3","17","Trial",81,"23","Trial",80
"00ozrxkb","10615428","real_08_32bit.mp3","24","Trial",60,"14","Trial",80
"00ozrxkb","10615428","real_102_32bit.mp3","16","Trial",59,"16","Trial",76
"00ozrxkb","10615428","real_12_32bit.mp3","11","Trial",58,"12","Trial",76
"00ozrxkb","10615428","real_21_32bit.mp3","13","Trial",40,"7","Trial",88
"00ozrxkb","10615428","real_24_32bit.mp3","19","Trial",75,"4","Trial",60
"00ozrxkb","10615428","real_33_32bit.mp3","21","Trial",70,"10","Trial",72
"00ozrxkb","10615428","real_35_32bit.mp3","5","Trial",74,"11","Trial",85
"00ozrxkb","10615428","real_39_2_32bit.mp3","18","Trial",96,"8","Trial",91
"00ozrxkb","10615428","real_42_2_32bit.mp3","22","Trial",60,"2","Trial",70
"00ozrxkb","10615428","real_65_32bit.mp3","2","Trial",64,"21","Trial",80
"00ozrxkb","10615428","real_70_32bit.mp3","3","Trial",72,"13","Trial",78
"00ozrxkb","10615428","real_77_32bit.mp3","15","Trial",66,"22","Trial",76
"00ozrxkb","10615428","real_82_32bit.mp3","14","Trial",73,"24","Trial",43
"00ozrxkb","10615428","real_83_32bit.mp3","12","Trial",62,"3","Trial",66
"00ozrxkb","10615428","real_91_32bit.mp3","4","Trial",73,"20","Trial",60
"00ozrxkb","10615428","real_97_32bit.mp3","7","Trial",74,"1","Trial",77
"00ozrxkb","10615428","real_98_32bit.mp3","10","Trial",64,"17","Trial",76
"01ngy9k2","10782624","Half_real_37_32bit.mp3","8","Trial",91,"11","Trial",26
"01ngy9k2","10782624","Half_real_50_32bit.mp3","7","Trial",74,"6","Trial",58
"01ngy9k2","10782624","Half_real_53_32bit.mp3","19","Trial",58,"5","Trial",44
"01ngy9k2","10782624","Half_real_54_32bit.mp3","10","Trial",88,"1","Trial",70
"01ngy9k2","10782624","Half_real_58_32bit.mp3","1","Trial",81,"15","Trial",58
"01ngy9k2","10782624","Half_real_73_32bit.mp3","4","Trial",62,"8","Trial",3
"01ngy9k2","10782624","Half_real_74_32bit.mp3","14","Trial",83,"17","Trial",14
"01ngy9k2","10782624","real_08_32bit.mp3","13","Trial",74,"4","Trial",35
