"Participant.Public.ID","Participant.Private.ID","Spreadsheet..audio","Trial.Number.x","Display.x","Response.x","Trial.Number.y","Display.y","Response.y"
"01sybimu","10523371","Half_real_37_32bit.mp3","16","Trial",34,"20","Trial",34
"01sybimu","10523371","Half_real_50_32bit.mp3","21","Trial",83,"15","Trial",87
"01sybimu","10523371","Half_real_53_32bit.mp3","19","Trial",83,"6","Trial",68
"01sybimu","10523371","Half_real_54_32bit.mp3","17","Trial",99,"5","Trial",66
"01sybimu","10523371","Half_real_58_32bit.mp3","2","Trial",28,"9","Trial",19
"01sybimu","10523371","Half_real_73_32bit.mp3","1","Trial",62,"16","Trial",39
"01sybimu","10523371","Half_real_74_32bit.mp3","5","Trial",99,"12","Trial",74
"01sybimu","10523371","real_08_32bit.mp3","20","Trial",94,"4","Trial",81
"01sybimu","10523371","real_102_32bit.mp3","24","Trial",56,"21","Trial",71
"01sybimu","10523371","real_12_32bit.mp3","12","Trial",2,"2","Trial",35
"01sybimu","10523371","real_21_32bit.mp3","6","Trial",23,"19","Trial",16
"01sybimu","10523371","real_24_32bit.mp3","15","Trial",12,"14","Trial",0
"01sybimu","10523371","real_33_32bit.mp3","10","Trial",38,"23","Trial",25
"01sybimu","10523371","real_35_32bit.mp3","3","Trial",65,"10","Trial",34
"01sybimu","10523371","real_39_2_32bit.mp3","4","Trial",86,"1","Trial",66
"01sybimu","10523371","real_42_2_32bit.mp3","13","Trial",33,"13","Trial",32
"01sybimu","10523371","real_65_32bit.mp3","7","Trial",2,"3","Trial",20
"01sybimu","10523371","real_70_32bit.mp3","8","Trial",76,"18","Trial",60
"01sybimu","10523371","real_77_32bit.mp3","11","Trial",99,"17","Trial",38
"01sybimu","10523371","real_82_32bit.mp3","22","Trial",0,"24","Trial",41
"01sybimu","10523371","real_83_32bit.mp3","18","Trial",40,"11","Trial",34
"01sybimu","10523371","real_91_32bit.mp3","23","Trial",27,"22","Trial",38
"01sybimu","10523371","real_97_32bit.mp3","14","Trial",57,"8","Trial",57
"01sybimu","10523371","real_98_32bit.mp3","9","Trial",56,"7","Trial",81
"05xrj0yw","10484018","Half_real_37_32bit.mp3","19","Trial",47,"14","Trial",40
"05xrj0yw","10484018","Half_real_50_32bit.mp3","12","Trial",73,"17","Trial",56
"05xrj0yw","10484018","Half_real_53_32bit.mp3","20","Trial",58,"4","Trial",54
"05xrj0yw","10484018","Half_real_54_32bit.mp3","7","Trial",87,"22","Trial",46
"05xrj0yw","10484018","Half_real_58_32bit.mp3","1","Trial",78,"5","Trial",41
"05xrj0yw","10484018","Half_real_73_32bit.mp3","17","Trial",43,"12","Trial",0
"05xrj0yw","10484018","Half_real_74_32bit.mp3","23","Trial",41,"19","Trial",46
"05xrj0yw","10484018","real_08_32bit.mp3","13","Trial",81,"15","Trial",45
"05xrj0yw","10484018","real_102_32bit.mp3","3","Trial",76,"6","Trial",48
"05xrj0yw","10484018","real_12_32bit.mp3","8","Trial",73,"23","Trial",31
"05xrj0yw","10484018","real_21_32bit.mp3","14","Trial",65,"3","Trial",60
"05xrj0yw","10484018","real_24_32bit.mp3","2","Trial",57,"16","Trial",0
"05xrj0yw","10484018","real_33_32bit.mp3","22","Trial",57,"8","Trial",43
"05xrj0yw","10484018","real_35_32bit.mp3","24","Trial",57,"18","Trial",61
"05xrj0yw","10484018","real_39_2_32bit.mp3","18","Trial",57,"9","Trial",43
"05xrj0yw","10484018","real_42_2_32bit.mp3","16","Trial",71,"1","Trial",62
"05xrj0yw","10484018","real_65_32bit.mp3","9","Trial",76,"7","Trial",26
"05xrj0yw","10484018","real_70_32bit.mp3","6","Trial",87,"13","Trial",52
"05xrj0yw","10484018","real_77_32bit.mp3","21","Trial",56,"24","Trial",51
"05xrj0yw","10484018","real_82_32bit.mp3","10","Trial",61,"10","Trial",45
"05xrj0yw","10484018","real_83_32bit.mp3","15","Trial",67,"20","Trial",54
"05xrj0yw","10484018","real_91_32bit.mp3","5","Trial",73,"2","Trial",63
"05xrj0yw","10484018","real_97_32bit.mp3","11","Trial",68,"21","Trial",50
"05xrj0yw","10484018","real_98_32bit.mp3","4","Trial",78,"11","Trial",50
"0ons535i","10356030","Half_real_37_32bit.mp3","19","Trial",38,"24","Trial",19
"0ons535i","10356030","Half_real_50_32bit.mp3","7","Trial",47,"6","Trial",54
"0ons535i","10356030","Half_real_53_32bit.mp3","2","Trial",81,"1","Trial",59
"0ons535i","10356030","Half_real_54_32bit.mp3","18","Trial",90,"15","Trial",28
"0ons535i","10356030","Half_real_58_32bit.mp3","21","Trial",57,"21","Trial",30
"0ons535i","10356030","Half_real_73_32bit.mp3","5","Trial",42,"7","Trial",62
"0ons535i","10356030","Half_real_74_32bit.mp3","22","Trial",54,"18","Trial",58
"0ons535i","10356030","real_08_32bit.mp3","16","Trial",37,"2","Trial",67
"0ons535i","10356030","real_102_32bit.mp3","8","Trial",46,"16","Trial",28
"0ons535i","10356030","real_12_32bit.mp3","13","Trial",57,"5","Trial",35
"0ons535i","10356030","real_21_32bit.mp3","15","Trial",67,"22","Trial",26
"0ons535i","10356030","real_24_32bit.mp3","1","Trial",69,"17","Trial",3
"0ons535i","10356030","real_33_32bit.mp3","12","Trial",44,"4","Trial",35
"0ons535i","10356030","real_35_32bit.mp3","10","Trial",60,"11","Trial",28
"0ons535i","10356030","real_39_2_32bit.mp3","4","Trial",86,"9","Trial",33
"0ons535i","10356030","real_42_2_32bit.mp3","9","Trial",54,"12","Trial",23
"0ons535i","10356030","real_65_32bit.mp3","14","Trial",71,"23","Trial",59
"0ons535i","10356030","real_70_32bit.mp3","24","Trial",60,"10","Trial",73
"0ons535i","10356030","real_77_32bit.mp3","6","Trial",84,"3","Trial",57
"0ons535i","10356030","real_82_32bit.mp3","17","Trial",21,"14","Trial",9
"0ons535i","10356030","real_83_32bit.mp3","11","Trial",43,"8","Trial",58
"0ons535i","10356030","real_91_32bit.mp3","3","Trial",52,"20","Trial",16
"0ons535i","10356030","real_97_32bit.mp3","20","Trial",65,"19","Trial",58
"0ons535i","10356030","real_98_32bit.mp3","23","Trial",63,"13","Trial",18
"0wczf4yw","10419061","Half_real_37_32bit.mp3","18","Trial",100,"24","Trial",61
"0wczf4yw","10419061","Half_real_50_32bit.mp3","8","Trial",36,"9","Trial",29
"0wczf4yw","10419061","Half_real_53_32bit.mp3","24","Trial",69,"20","Trial",66
"0wczf4yw","10419061","Half_real_54_32bit.mp3","1","Trial",91,"7","Trial",74
"0wczf4yw","10419061","Half_real_58_32bit.mp3","2","Trial",35,"15","Trial",28
"0wczf4yw","10419061","Half_real_73_32bit.mp3","23","Trial",95,"4","Trial",69
"0wczf4yw","10419061","Half_real_74_32bit.mp3","17","Trial",35,"1","Trial",62
"0wczf4yw","10419061","real_08_32bit.mp3","3","Trial",100,"13","Trial",63
"0wczf4yw","10419061","real_102_32bit.mp3","6","Trial",64,"23","Trial",60
"0wczf4yw","10419061","real_12_32bit.mp3","22","Trial",74,"14","Trial",60
"0wczf4yw","10419061","real_21_32bit.mp3","7","Trial",69,"10","Trial",66
"0wczf4yw","10419061","real_24_32bit.mp3","5","Trial",26,"22","Trial",28
"0wczf4yw","10419061","real_33_32bit.mp3","10","Trial",40,"17","Trial",65
"0wczf4yw","10419061","real_35_32bit.mp3","20","Trial",69,"3","Trial",26
"0wczf4yw","10419061","real_39_2_32bit.mp3","11","Trial",59,"21","Trial",70
"0wczf4yw","10419061","real_42_2_32bit.mp3","21","Trial",65,"16","Trial",39
"0wczf4yw","10419061","real_65_32bit.mp3","16","Trial",34,"5","Trial",32
