"Participant.Public.ID","Participant.Private.ID","country","Rhythm","Harmony","groove","pleasure","MT","GMS","MS","EE","MR","SM","SR","BMRQ","gender","age"
"00ozrxkb","10615428","chinese","4","4",63,37,18,68,14,16,13,16,13,72,"1",21
"00ozrxkb","10615428","chinese","4","2",57,61,18,68,14,16,13,16,13,72,"1",21
"00ozrxkb","10615428","chinese","4","3",37,66,18,68,14,16,13,16,13,72,"1",21
"00ozrxkb","10615428","chinese","4","1",56,41,18,68,14,16,13,16,13,72,"1",21
"00ozrxkb","10615428","chinese","1","4",32,34,18,68,14,16,13,16,13,72,"1",21
"00ozrxkb","10615428","chinese","1","2",31,59,18,68,14,16,13,16,13,72,"1",21
"00ozrxkb","10615428","chinese","1","3",36,38,18,68,14,16,13,16,13,72,"1",21
"00ozrxkb","10615428","chinese","1","1",57,43,18,68,14,16,13,16,13,72,"1",21
"00ozrxkb","10615428","chinese","2","4",65,38,18,68,14,16,13,16,13,72,"1",21
"00ozrxkb","10615428","chinese","2","2",43,66,18,68,14,16,13,16,13,72,"1",21
"00ozrxkb","10615428","chinese","2","3",34,74,18,68,14,16,13,16,13,72,"1",21
"00ozrxkb","10615428","chinese","2","1",56,81,18,68,14,16,13,16,13,72,"1",21
"00ozrxkb","10615428","chinese","3","4",80,84,18,68,14,16,13,16,13,72,"1",21
"00ozrxkb","10615428","chinese","3","2",69,85,18,68,14,16,13,16,13,72,"1",21
"00ozrxkb","10615428","chinese","3","3",61,91,18,68,14,16,13,16,13,72,"1",21
"00ozrxkb","10615428","chinese","3","1",74,86,18,68,14,16,13,16,13,72,"1",21
"01ngy9k2","10782624","chinese","4","4",13,0,11,61,16,16,14,17,16,79,"2",23
"01ngy9k2","10782624","chinese","4","2",24,29,11,61,16,16,14,17,16,79,"2",23
"01ngy9k2","10782624","chinese","4","3",7,19,11,61,16,16,14,17,16,79,"2",23
"01ngy9k2","10782624","chinese","4","1",4,33,11,61,16,16,14,17,16,79,"2",23
"01ngy9k2","10782624","chinese","1","4",63,3,11,61,16,16,14,17,16,79,"2",23
"01ngy9k2","10782624","chinese","1","2",23,70,11,61,16,16,14,17,16,79,"2",23
"01ngy9k2","10782624","chinese","1","3",29,8,11,61,16,16,14,17,16,79,"2",23
"01ngy9k2","10782624","chinese","1","1",56,24,11,61,16,16,14,17,16,79,"2",23
"01ngy9k2","10782624","chinese","2","4",70,68,11,61,16,16,14,17,16,79,"2",23
"01ngy9k2","10782624","chinese","2","2",84,63,11,61,16,16,14,17,16,79,"2",23
"01ngy9k2","10782624","chinese","2","3",66,18,11,61,16,16,14,17,16,79,"2",23
"01ngy9k2","10782624","chinese","2","1",74,67,11,61,16,16,14,17,16,79,"2",23
"01ngy9k2","10782624","chinese","3","4",26,0,11,61,16,16,14,17,16,79,"2",23
"01ngy9k2","10782624","chinese","3","2",36,25,11,61,16,16,14,17,16,79,"2",23
"01ngy9k2","10782624","chinese","3","3",25,29,11,61,16,16,14,17,16,79,"2",23
"01ngy9k2","10782624","chinese","3","1",31,17,11,61,16,16,14,17,16,79,"2",23
"01sybimu","10523371","denmark","4","4",0,0,37,90,12,15,18,17,18,80,"2",24
"01sybimu","10523371","denmark","4","2",30,32,37,90,12,15,18,17,18,80,"2",24
"01sybimu","10523371","denmark","4","3",3,8,37,90,12,15,18,17,18,80,"2",24
"01sybimu","10523371","denmark","4","1",28,33,37,90,12,15,18,17,18,80,"2",24
"01sybimu","10523371","denmark","1","4",17,10,37,90,12,15,18,17,18,80,"2",24
"01sybimu","10523371","denmark","1","2",26,45,37,90,12,15,18,17,18,80,"2",24
"01sybimu","10523371","denmark","1","3",29,32,37,90,12,15,18,17,18,80,"2",24
