"Participant.Public.ID","Participant.Private.ID","Biological.sex.Quantised","Age.Value"
"c9nswen7",10610624,2,22
"eobj3i6a",10614681,1,28
"5p9aw3vz",10615285,1,24
"4kae0wzc",10615291,2,23
"newsk0qj",10615298,2,23
"0rj5b2ip",10615301,2,23
"wedir472",10615312,2,20
"iuv6lvnc",10615318,2,19
"bgrokfi7",10615319,1,24
"48uynabp",10615324,2,19
"qk4q910j",10615331,1,22
"kgfoxuva",10615333,1,22
"769u5i3c",10615334,1,23
"byqbbnza",10615338,2,24
"k44mtv2k",10615345,1,20
"dksjjsxo",10615347,1,22
"iei7ln9k",10615346,2,19
"isfhkzrg",10615343,2,22
"bzdu2xjb",10615337,1,22
"9dz5gu40",10615358,1,25
"vvgo2x9d",10615362,1,22
"yxfx2r6c",10615365,1,23
"8kmhrvqz",10615364,1,22
"h4duc36w",10615340,1,21
"jck7wq2i",10615369,2,23
"rc07cfr4",10615377,2,21
"yvmxbd8a",10615373,1,21
"gczc4xz3",10615370,2,23
"6xynbgdz",10615353,2,20
"ayzcye5a",10615381,2,19
"x6qflhsm",10615390,1,20
"7h26xs6k",10615385,2,29
"ns18an7k",10615389,2,30
"scau2cfs",10615397,1,20
"gpu48luv",10615412,1,21
"086y0853",10615410,2,22
"62u69ewj",10615414,1,22
"y1eypor8",10615425,1,25
"00ozrxkb",10615428,1,21
"dh3skqt5",10615433,1,20
"ibnzywow",10615435,2,23
"dv9y19yj",10615442,2,32
"xfohvwc2",10615445,1,22
"xf4x8838",10615457,1,21
"uh5f20s2",10615459,1,20
"zurc09zq",10615464,1,19
"cteqcliz",10615469,2,21
"vivk94td",10615476,1,23
"r64q0vy9",10615477,2,25
"se675twb",10615467,2,22
"3nion908",10615496,2,24
"vrcnyevd",10615499,1,22
"yf4nzz0b",10615506,1,25
"s472kaiz",10615519,1,23
"he6natzz",10615520,1,19
"248x4tej",10615516,1,24
"l1gkd6m1",10616142,2,18
"3cfrzjo6",10616185,1,21
"96cmn76k",10616188,2,22
"ewvs2q5j",10617408,2,21
"5zt3znaj",10618165,1,22
"gwyxdf19",10620115,2,23
"8ru3x1f0",10620173,1,25
"u38i920s",10620266,1,22
"gjp1llm5",10620269,1,22
"7uqh2euh",10620334,1,20
"o0dyu6gp",10620353,1,22
"qbxr44oo",10620375,1,23
"pfpjv0dg",10620383,1,23
"ph77cheh",10620384,1,25
"qyt42jh8",10620789,2,30
"i1tgubi1",10620810,1,28
"ga50k9x9",10620816,1,20
"909fcxf9",10620820,1,23
"9v70oj52",10620867,1,21
"60v9i74x",10620924,2,21
"hz1y5cvn",10620969,1,28
"3vgzsb84",10621131,1,20
"orulc1bi",10621140,1,21
"b5o609nw",10621206,1,20
"jbwkllmq",10621399,2,20
"le3wbl22",10637087,1,49
"cwp6ixzm",10637106,2,45
"flg5dksq",10678657,1,21
"2l0uqiz5",10679119,1,20
"p455rgb0",10679132,2,20
"r6yvjtr3",10693773,1,21
"9gm2ndnm",10738951,1,20
"vzz3hq5o",10745009,1,23
"l7hruau2",10745066,2,24
"t7zj7gx3",10745076,1,22
"9mzc19ng",10745134,2,23
"kxnqr2ih",10745225,2,25
"v007mc3w",10745355,1,25
"3rujns8n",10745513,2,20
"s71qcm2l",10746379,1,21
"kwizcctd",10747758,1,23
"ki5bwplr",10747761,2,22
"29v1q34h",10747783,2,20
"4uzwt11f",10747804,1,21
"t5zn7nvd",10747836,2,20
"s2hupvg9",10747823,1,22
"o00n09ra",10747854,2,20
"j4q0majr",10747871,1,21
"12w4b7xr",10747920,2,22
"i5bmhow7",10747958,2,20
"wlzm73xh",10748267,2,23
"hz42392e",10748337,1,21
"3gyrja1q",10748379,1,22
"mkf2au6n",10748410,1,21
"rdkrptvx",10748464,2,21
"ayzltz4j",10748544,1,21
"8endlhs6",10748652,1,25
"vzz8ac56",10748656,2,21
"130mtdx5",10749093,2,20
"w7lg2t60",10755904,1,21
"y6hj6rd1",10755905,1,20
"2k2t1xaw",10755906,1,21
"r10r5355",10756100,1,20
"ux7600ha",10756109,1,21
"8926ifzd",10756657,2,21
"l5wi19rp",10756658,1,20
"wnj6of55",10756672,1,22
"56ob2dop",10756680,1,22
"d3fl2e9v",10756687,2,22
"g75gt91l",10756688,1,28
"enbb2c1s",10756682,1,22
"mku0ap8q",10757060,2,20
"qxhhsyze",10757193,1,22
"f2fjrd2u",10757224,1,20
"2ffbv0lp",10757407,1,28
"5or72we9",10758999,1,23
"8brt3ssk",10771400,2,21
"jhn7bb1x",10771729,2,23
"beh78otz",10775055,2,24
"01ngy9k2",10782624,2,23
"6tzheimb",10785316,2,22
"ovmnpl9p",10794601,2,22
