"Participant.Public.ID","Participant.Private.ID","country","rhythm","wSI","groove","pleasure","MT","GMS","MS","EE","MR","SM","SR","BMRQ","gender","age"
"00ozrxkb","10615428","chinese","17",59,40,88,18,68,14,16,13,16,13,72,"1",21
"00ozrxkb","10615428","chinese","21",74,74,66,18,68,14,16,13,16,13,72,"1",21
"00ozrxkb","10615428","chinese","24",85,75,60,18,68,14,16,13,16,13,72,"1",21
"00ozrxkb","10615428","chinese","22",76,73,60,18,68,14,16,13,16,13,72,"1",21
"00ozrxkb","10615428","chinese","23",82,58,76,18,68,14,16,13,16,13,72,"1",21
"00ozrxkb","10615428","chinese","7",22,74,77,18,68,14,16,13,16,13,72,"1",21
"00ozrxkb","10615428","chinese","5",13,72,78,18,68,14,16,13,16,13,72,"1",21
"00ozrxkb","10615428","chinese","6",18,64,80,18,68,14,16,13,16,13,72,"1",21
"00ozrxkb","10615428","chinese","14",44,71,87,18,68,14,16,13,16,13,72,"1",21
"00ozrxkb","10615428","chinese","9",27,62,66,18,68,14,16,13,16,13,72,"1",21
"00ozrxkb","10615428","chinese","10",32,64,76,18,68,14,16,13,16,13,72,"1",21
"00ozrxkb","10615428","chinese","8",24,69,80,18,68,14,16,13,16,13,72,"1",21
"00ozrxkb","10615428","chinese","12",40,74,85,18,68,14,16,13,16,13,72,"1",21
"00ozrxkb","10615428","chinese","19",65,70,72,18,68,14,16,13,16,13,72,"1",21
"00ozrxkb","10615428","chinese","18",62,65,86,18,68,14,16,13,16,13,72,"1",21
"00ozrxkb","10615428","chinese","13",42,66,76,18,68,14,16,13,16,13,72,"1",21
"00ozrxkb","10615428","chinese","2",4,59,76,18,68,14,16,13,16,13,72,"1",21
"00ozrxkb","10615428","chinese","4",10,81,80,18,68,14,16,13,16,13,72,"1",21
"00ozrxkb","10615428","chinese","3",8,41,64,18,68,14,16,13,16,13,72,"1",21
"00ozrxkb","10615428","chinese","16",54,96,91,18,68,14,16,13,16,13,72,"1",21
"00ozrxkb","10615428","chinese","20",69,73,43,18,68,14,16,13,16,13,72,"1",21
"00ozrxkb","10615428","chinese","15",50,60,70,18,68,14,16,13,16,13,72,"1",21
"00ozrxkb","10615428","chinese","1",0,62,91,18,68,14,16,13,16,13,72,"1",21
