"Participant.Public.ID","Participant.Private.ID","country","goldmsi1.quantised","goldmsi3.quantised","goldmsi4.quantised","goldmsi7.quantised","goldmsi10.quantised","goldmsi12.quantised","goldmsi14.quantised","goldmsi15.quantised","goldmsi17.quantised","goldmsi19.quantised","goldmsi23.quantised","goldmsi24.quantised","goldmsi25.quantised","goldmsi27.quantised","goldmsi29.quantised","goldmsi32.quantised","goldmsi33.quantised","goldmsi35.quantised","goldmsi36.quantised","goldmsi37.quantised","q01.quantised","q02.quantised","q03.quantised","q04.quantised","q05.quantised","q06.quantised","q07.quantised","q08.quantised","q09.quantised","q10.quantised","q11.quantised","q12.quantised","q13.quantised","q14.quantised","q15.quantised","q16.quantised","q17.quantised","q18.quantised","q19.quantised","q20.quantised"
"00ozrxkb",10615428,"chinese",5,3,3,4,5,4,4,3,2,5,2,3,5,5,5,2,2,2,2,3,4,2,4,4,2,4,4,4,4,4,3,2,2,4,4,3,3,3,4,4
"01ngy9k2",10782624,"chinese",6,4,5,6,5,5,6,3,1,2,5,2,6,7,5,1,1,4,1,1,4,3,4,4,1,4,5,4,4,4,3,4,3,4,4,5,5,2,4,4
"086y0853",10615410,"chinese",5,6,6,2,3,1,4,3,2,1,3,2,6,7,2,1,3,1,1,1,5,1,5,4,1,5,4,4,5,4,4,2,4,5,5,5,4,2,4,5
"0rj5b2ip",10615301,"chinese",7,7,5,7,7,7,1,7,3,5,2,7,1,1,7,2,4,1,5,3,5,1,5,5,1,5,5,5,5,5,3,3,5,5,5,5,5,5,5,5
"12w4b7xr",10747920,"chinese",7,7,6,7,6,7,1,7,1,7,1,6,1,1,7,2,3,3,3,2,5,1,5,1,1,5,4,5,5,4,5,5,5,4,5,5,5,4,5,5
"130mtdx5",10749093,"chinese",5,4,6,6,6,5,3,4,2,5,2,1,4,6,6,3,4,3,3,3,4,2,4,5,1,4,5,4,5,4,4,4,5,5,5,4,4,2,4,4
"248x4tej",10615516,"chinese",5,5,4,4,5,5,4,5,5,5,2,5,3,5,5,4,7,5,5,3,4,2,4,4,2,5,5,5,4,5,5,2,3,5,4,3,4,5,5,4
"29v1q34h",10747783,"chinese",7,3,1,7,4,6,3,7,1,4,7,6,2,1,5,2,5,4,3,3,5,1,5,5,1,4,4,5,5,5,4,4,5,4,5,4,4,3,5,5
"2ffbv0lp",10757407,"chinese",5,7,6,7,5,6,3,5,2,6,3,7,1,2,6,4,6,3,4,3,5,1,4,5,2,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4
"2k2t1xaw",10755906,"chinese",4,5,6,6,5,4,3,5,3,4,2,5,3,4,6,3,5,4,4,3,5,1,4,4,1,5,4,4,5,4,4,5,4,4,5,4,5,4,4,5
"2l0uqiz5",10679119,"chinese",5,6,5,7,6,5,1,5,1,6,2,5,2,1,5,3,4,5,5,3,4,1,5,4,2,4,5,4,4,5,4,5,4,5,4,5,4,1,5,4
"3cfrzjo6",10616185,"chinese",5,3,5,3,5,4,5,2,5,4,5,4,6,3,5,3,5,5,4,5,4,3,3,4,2,4,3,2,4,4,2,4,3,2,4,3,2,4,3,4
"3gyrja1q",10748379,"chinese",7,6,7,7,7,6,1,7,1,6,7,7,1,1,7,2,3,3,3,2,5,1,5,4,2,5,5,4,5,5,4,5,5,4,5,5,5,4,5,5
